Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
mens-stainless-steel-quartz-watch-24mm-multicolor-strap-mkz-717777,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-716689-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-716689-product-3.webp,Men's Stainless Steel Quartz Watch 24mm Multicolor Strap,
mens-stainless-steel-quartz-watch-24mm-multicolor-strap-mkz-717777,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-716689-product-1-withcode.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-716689-product-1-withcode.webp,Men's Stainless Steel Quartz Watch 24mm Multicolor Strap,
mens-stainless-steel-quartz-watch-24mm-multicolor-strap-mkz-717777,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/9e4a01df-1e43-4bf7-adf9-fff0ebacd7b8.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F9e4a01df-1e43-4bf7-adf9-fff0ebacd7b8.webp,Men's Stainless Steel Quartz Watch 24mm Multicolor Strap,
mens-stainless-steel-quartz-watch-24mm-multicolor-strap-mkz-717777,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/0d3f5d2d-1f30-47f3-aa99-4baad91597d8.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F0d3f5d2d-1f30-47f3-aa99-4baad91597d8.webp,Men's Stainless Steel Quartz Watch 24mm Multicolor Strap,
mens-imported-quality-watch-mkz-754811,Men's Imported Quality Watch,"<ul><li>Material: Brass</li><li>Pattern: Chain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Reliable Time Accuracy, Comfortable Daily Wear, Modern Stylish Look, Value For Money, Perfect For All Occasions</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Multicolor</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 24 mm</li><li>Length: 10 Inches</li><li>Height: .03 Inches</li><li>With Date Working &amp; Butterfly lock</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200072RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-imported-quality-watch/754811?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Multicolor,MKZ-754811-754811001,0,,,continue,manual,3232,TRUE,https://www.markaz.app/api/export/image/1936-132-754811-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-754811-product-1.webp,Men's Imported Quality Watch,draft
mens-imported-quality-watch-mkz-754811,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-754811-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-754811-product-2.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-754811,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-754811-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-754811-product-4.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-754811,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-754811-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-754811-product-3.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-754811,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-754811-product-5.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-754811-product-5.webp,Men's Imported Quality Watch,
mens-sports-watch-black-blue-water-resistant-24hr-display-mkz-675400,Men's Sports Watch Black Blue Water Resistant 24Hr Display,"<p>This Men's Sports Watch is the ultimate choice for Pakistani men who demand both style and toughness. Designed for the rugged lifestyle, it’s built to handle rain, dust, and daily wear with ease. Its sleek black and blue design makes it perfect for office, gym, or casual outings — a true fashion statement that never goes out of style.</p><p>Crafted with durable plastic, this watch is built to last. The water-resistant feature lets you wear it during monsoon showers or while washing hands without worry. The long battery life means you won’t need to replace the battery for months — saving you money and hassle. The comfortable strap ensures all-day wear without discomfort, making it ideal for busy professionals and active youth alike.</p><p>- Water Resistant for everyday use</p><p>- Long Battery Life for months of reliability</p><p>- Stylish Black &amp; Blue Design for any occasion</p><p>- Durable Plastic Construction for tough conditions</p><p>- 24-Hour Digital Display for clear timekeeping</p><p>- Imported Quality at the Best Price in Pakistan</p><ul><li>Material: Plastic</li><li>Pattern: Plain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 24-Hour Format</li><li>Product Feature: Water Resistant, Imported Quality, Long Battery Life, Comfortable Daily Wear</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Black, Blue</li><li>Package Includes: 1 x Sports Watch</li><li>Dial Diameter: 24 mm</li><li>Length: 12 Inches</li><li>Height: 0.3 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200006RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-sports-watch-black-blue-water-resistant-24hr-display/675400?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Sports Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Black,MKZ-675400-675400001,0,,,continue,manual,1574,TRUE,https://www.markaz.app/api/export/image/1936-132-675400-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-675400-product-1.webp,Men's Sports Watch Black Blue Water Resistant 24Hr Display,draft
mens-sports-watch-black-blue-water-resistant-24hr-display-mkz-675400,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-675400-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-675400-product-2.webp,Men's Sports Watch Black Blue Water Resistant 24Hr Display,
mens-sports-watch-black-blue-water-resistant-24hr-display-mkz-675400,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-675400-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-675400-product-3.webp,Men's Sports Watch Black Blue Water Resistant 24Hr Display,
mens-sports-watch-black-blue-water-resistant-24hr-display-mkz-675400,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-675400-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-675400-product-4.webp,Men's Sports Watch Black Blue Water Resistant 24Hr Display,
mens-sports-watch-black-blue-water-resistant-24hr-display-mkz-675400,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-675400-product-1-withcode.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-675400-product-1-withcode.webp,Men's Sports Watch Black Blue Water Resistant 24Hr Display,
mens-imported-quality-watch-mkz-750325,Men's Imported Quality Watch,"<ul><li>Material: Rubber</li><li>Pattern: Plain Strap</li><li>Gender: Men's</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Reliable Time Accuracy, Comfortable Daily Wear, Value For Money, Modern Stylish Look</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Black</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 22 mm</li><li>Length: 10 Inches</li><li>Height: .03 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200071RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-imported-quality-watch/750325?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Black,MKZ-750325-750325001,0,,,continue,manual,1451,TRUE,https://www.markaz.app/api/export/image/1936-132-750325-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-750325-product-1.webp,Men's Imported Quality Watch,draft
mens-imported-quality-watch-mkz-750325,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-750325-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-750325-product-2.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-750325,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-750325-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-750325-product-3.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,Men's Imported Quality Watch,"<ul><li>Material: Brass</li><li>Pattern: Chain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Reliable Time Accuracy, Comfortable Daily Wear, Modern Stylish Look, Value For Money</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Multicolor</li><li>Package Includes: 1 x Chain Watch</li><li>Dial Diameter: 22 mm</li><li>Length: 10 Inches</li><li>Height: .03 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200078RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-imported-quality-watch/756861?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Chain Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Multicolor,MKZ-756861-756861001,0,,,continue,manual,1588,TRUE,https://www.markaz.app/api/export/image/1936-132-756843-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-1.webp,Men's Imported Quality Watch,draft
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-2.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-3.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-4.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-5.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-5.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-6.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-6.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-7.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-7.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756843-product-8.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756843-product-8.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-756861,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-132-756860-product-9.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-132-756860-product-9.webp,Men's Imported Quality Watch,
stainless-steel-chronograph-watch-black-dial-gold-strap-mkz-575042,Stainless Steel Chronograph Watch Black Dial Gold Strap,"<p>This sleek chronograph watch is the perfect blend of luxury and functionality, ideal for Pakistani men who demand both style and durability. Its stainless steel chain strap and dual-tone silver-gold design make it effortlessly stylish for office meetings, weddings, or casual outings. The watch’s robust construction ensures it can handle daily wear and tear, while its precise quartz movement delivers accurate timekeeping you can trust. Whether you’re navigating busy city streets or enjoying a weekend getaway, this watch stays sharp and reliable.</p><p>The watch features a 34mm round case with a black dial and luminous markers for easy reading, even in low light. Its durable stainless steel build resists scratches and corrosion, making it a long-term investment. The chronograph function lets you track multiple time intervals, while the water-resistant design adds practicality for everyday use. The elegant design and premium finish make it a standout accessory for any wardrobe.</p><p>- Stainless steel chain strap for durability and comfort</p><p>- Dual-tone silver and gold design for a sophisticated look</p><p>- Quartz movement for precise, long-lasting timekeeping</p><p>- Chronograph function for tracking multiple time intervals</p><p>- Water-resistant and scratch-resistant for daily use</p><p>- Ideal for both formal and casual occasions in Pakistan</p><ul><li>Material: Stainless Steel</li><li>Pattern: Chain Strap</li><li>Gender: Men's</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Silver, Golden</li><li>Package Includes: 1 x Chronograph Watch</li><li>Dial Diameter: 34 mm</li><li>Length: 7 Inches</li><li>Height: 1.5 Inches</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ11300000061AHGS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/stainless-steel-chronograph-watch-black-dial-gold-strap/575042?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Chronograph Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Silver,MKZ-575042-575042001,0,,,continue,manual,2213,TRUE,https://www.markaz.app/api/export/image/113-132-575042-product-1.JPG?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-132-575042-product-1.JPG,Stainless Steel Chronograph Watch Black Dial Gold Strap,draft
stainless-steel-chronograph-watch-black-dial-gold-strap-mkz-575042,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-132-575042-product-2.JPG?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-132-575042-product-2.JPG,Stainless Steel Chronograph Watch Black Dial Gold Strap,
stainless-steel-chronograph-watch-black-dial-gold-strap-mkz-575042,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-132-575042-product-3.JPG?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-132-575042-product-3.JPG,Stainless Steel Chronograph Watch Black Dial Gold Strap,
stainless-steel-chronograph-watch-black-dial-gold-strap-mkz-575042,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-132-575042-product-4.JPG?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-132-575042-product-4.JPG,Stainless Steel Chronograph Watch Black Dial Gold Strap,
stainless-steel-chronograph-watch-black-dial-gold-strap-mkz-575042,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-132-575042-product-1-withcode.JPG?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-132-575042-product-1-withcode.JPG,Stainless Steel Chronograph Watch Black Dial Gold Strap,
couple-analog-watches-steel-36mm-set-mkz-403031,Couple Analog Watches Steel 36mm Set,"<p>Perfect for couples who want to match in style, these elegant steel watches are designed to complement your everyday look while offering timeless sophistication. Ideal for both office wear and casual outings, they’re built to last with a sleek, durable steel band that resists wear and tear. The 36mm black dial with minimalist white markings ensures easy readability, even in bright sunlight or dim lighting. Whether you’re heading to a wedding, a business meeting, or a weekend brunch, these watches add a touch of class without overpowering your outfit.</p><p>These watches are crafted with premium quality materials to ensure long-term durability and comfort. The steel construction is lightweight yet strong, making them suitable for daily use without compromising on style. The analog design offers a classic, timeless appeal that suits any occasion. The 32mm size fits most wrists comfortably, while the 36mm option offers a slightly larger, more prominent look. Both watches are designed for couples who want to match in style without sacrificing functionality.</p><p>- Premium quality steel construction for long-lasting durability</p><p>- Stylish black dial with minimalist white markings</p><p>- Lightweight and comfortable for daily wear</p><p>- Perfect for couples seeking matching accessories</p><p>- Ideal for office, weddings, and casual outings</p><p>- New arrival with best price in Pakistan</p><ul><li>Material: Steel</li><li>Product Feature: Best For Couples</li><li>Number Of Pieces: 2 Pcs</li><li>Package Includes: 2 x Analogue Couple Watches</li><li>Dial Diameter: 36/32 mm</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ11320034AHGS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/couple-analog-watches-steel-36mm-set/403031?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Couple Watches,"Fashion Accessories, Couple Watches",FALSE,Color,Silver,MKZ-403031-403031001,0,,,continue,manual,2289,TRUE,https://www.markaz.app/api/export/image/113-284-403031-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-284-403031-product-1.webp,Couple Analog Watches Steel 36mm Set,draft
couple-analog-watches-steel-36mm-set-mkz-403031,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-284-403031-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-284-403031-product-2.webp,Couple Analog Watches Steel 36mm Set,
couple-analog-watches-steel-36mm-set-mkz-403031,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-284-403031-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-284-403031-product-3.webp,Couple Analog Watches Steel 36mm Set,
couple-analog-watches-steel-36mm-set-mkz-403031,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/113-284-403031-product-1-withcode.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F113-284-403031-product-1-withcode.webp,Couple Analog Watches Steel 36mm Set,
black-embroidered-3-piece-lawn-suit-for-women-mkz-696275,Black Embroidered 3-Piece Lawn Suit for Women,"<p>This elegant JAZMIN 3 pcs Unstitched Embroidered Suit is crafted for the modern Pakistani woman who demands both style and comfort. Perfect for weddings, Eid, or any festive occasion, its sophisticated black embroidery stands out with timeless grace. The lightweight lawn fabric ensures breathability during Pakistan’s warm seasons while maintaining a polished look for formal events.</p><p>The suit features a beautifully embroidered shirt with intricate detailing on the neckline, sleeves, and hem, paired with sleek black trousers for a refined silhouette. The dupatta, made from soft dobby lawn with a digital print border, adds a touch of elegance without overwhelming the design. This set is not only stylish but also durable, designed for regular use and special occasions alike. Its premium quality construction ensures it remains a staple in your wardrobe for years to come.</p><p>- Embroidered black lawn shirt with detailed front and sleeve patterns</p><p>- Matching black lawn trousers for a streamlined look</p><p>- Dobby lawn dupatta with digital print border for added flair</p><p>- Ideal for weddings, Eid, and formal gatherings</p><p>- Premium quality materials for long-lasting wear</p><p>- New arrival at the best price in Pakistan</p><ul><li>Shirt Fabric: Lawn</li><li>Pattern: Embroidered</li><li>Shirt Front Pattern: Embroidered</li><li>Neckline: Embroidered</li><li>Sleeves Pattern: Embroidered</li><li>Daman: Embroidered</li><li>Trouser Fabric: Lawn</li><li>Trouser Pattern: Plain</li><li>Dupatta Fabric: Dobby Lawn</li><li>Dupatta Pattern: Digital Print</li><li>Number Of Pieces: 3 Pcs</li><li>Package Includes: 1 x Shirt, 1 x Trouser, 1 x Dupatta</li><li>Shirt Cutting: 3 Meter</li><li>Trouser Cutting: 2.5 Gazz</li><li>Dupatta Cutting: 2.5 Gazz</li><li>Color: Black</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1914200097MCCNOL</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/black-embroidered-3-piece-lawn-suit-for-women/696275?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Suit,"Women's Unstitched, 3 Piece Suits",FALSE,Size,Unstitched,MKZ-696275-696275001,0,,,continue,manual,4439,TRUE,https://www.markaz.app/api/export/image/1914-2-696275-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1914-2-696275-product-1.webp,Black Embroidered 3-Piece Lawn Suit for Women,draft
black-embroidered-3-piece-lawn-suit-for-women-mkz-696275,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1914-2-696275-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1914-2-696275-product-2.webp,Black Embroidered 3-Piece Lawn Suit for Women,
black-embroidered-3-piece-lawn-suit-for-women-mkz-696275,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1914-2-696275-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1914-2-696275-product-3.webp,Black Embroidered 3-Piece Lawn Suit for Women,
black-embroidered-3-piece-lawn-suit-for-women-mkz-696275,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1914-2-696275-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1914-2-696275-product-4.webp,Black Embroidered 3-Piece Lawn Suit for Women,
black-embroidered-3-piece-lawn-suit-for-women-mkz-696275,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1914-2-696275-product-5.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1914-2-696275-product-5.webp,Black Embroidered 3-Piece Lawn Suit for Women,
black-embroidered-3-piece-lawn-suit-for-women-mkz-696275,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1914-2-696275-product-6.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1914-2-696275-product-6.webp,Black Embroidered 3-Piece Lawn Suit for Women,
fleece-printed-double-bed-blanket-mkz-753848,Fleece Printed Double Bed Blanket,"<ul><li>Fabric: Fleece</li><li>Pattern: Printed</li><li>Bed Size: Double Bed</li><li>Number Of Pieces: 1 Pc</li><li>Package Includes: 1 x Blanket</li><li>Blanket Length: 90 Inches</li><li>Blanket Width: 82 Inches</li><li>Color: Brown</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ962203286AIFS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/fleece-printed-double-bed-blanket/753848?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Blanket,"Bedding, Blankets",FALSE,Size,Double Bed Size,MKZ-753848-753848001,0,,,continue,manual,4026,TRUE,https://www.markaz.app/api/export/image/962-94-753848-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F962-94-753848-product-1.webp,Fleece Printed Double Bed Blanket,draft
fleece-printed-double-bed-blanket-mkz-753846,Fleece Printed Double Bed Blanket,"<ul><li>Fabric: Fleece</li><li>Pattern: Printed</li><li>Bed Size: Double Bed</li><li>Number Of Pieces: 1 Pc</li><li>Package Includes: 1 x Blanket</li><li>Blanket Length: 90 Inches</li><li>Blanket Width: 82 Inches</li><li>Color: Black</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ962203284AIFS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/fleece-printed-double-bed-blanket/753846?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Blanket,"Bedding, Blankets",FALSE,Size,Double Bed Size,MKZ-753846-753846001,0,,,continue,manual,4026,TRUE,https://www.markaz.app/api/export/image/962-94-753846-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F962-94-753846-product-1.webp,Fleece Printed Double Bed Blanket,draft
fleece-printed-double-bed-blanket-mkz-753856,Fleece Printed Double Bed Blanket,"<ul><li>Fabric: Fleece</li><li>Pattern: Printed</li><li>Bed Size: Double Bed</li><li>Number Of Pieces: 1 Pc</li><li>Package Includes: 1 x Blanket</li><li>Blanket Length: 90 Inches</li><li>Blanket Width: 82 Inches</li><li>Color: Green</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ962203294AIFS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/fleece-printed-double-bed-blanket/753856?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Blanket,"Bedding, Blankets",FALSE,Size,Double Bed Size,MKZ-753856-753856001,0,,,continue,manual,4026,TRUE,https://www.markaz.app/api/export/image/962-94-753856-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F962-94-753856-product-1.webp,Fleece Printed Double Bed Blanket,draft
fleece-printed-double-bed-blanket-mkz-753853,Fleece Printed Double Bed Blanket,"<ul><li>Fabric: Fleece</li><li>Pattern: Printed</li><li>Bed Size: Double Bed</li><li>Number Of Pieces: 1 Pc</li><li>Package Includes: 1 x Blanket</li><li>Blanket Length: 90 Inches</li><li>Blanket Width: 82 Inches</li><li>Color: Black</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ962203291AIFS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/fleece-printed-double-bed-blanket/753853?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Blanket,"Bedding, Blankets",FALSE,Size,Double Bed Size,MKZ-753853-753853001,0,,,continue,manual,4026,TRUE,https://www.markaz.app/api/export/image/962-94-753853-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F962-94-753853-product-1.webp,Fleece Printed Double Bed Blanket,draft
